phenotypeId,webApiCohortId,cohortName,logicDescription,cohortId,referentConceptId,cohortType,PMID
132702000,18641,Erythema multiforme referent incident cohort,"Persons with condition occurrence of referent concept (132702) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",132702001,132702,referent,
132702000,18640,Erythema multiforme referent prevalent cohort,"Persons with condition occurrence of referent concept (132702) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",132702002,132702,referent,
132702000,18998,Erythema multiforme or Stevens-Johnson syndrome design diagnostics 1 cohort,Erythema multiforme or Stevens-Johnson syndrome,132702003,132702,design diagnostics,
132703000,17549,Lichen planus referent incident cohort,"Persons with condition occurrence of referent concept (132703) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",132703001,132703,referent,
132703000,17548,Lichen planus referent prevalent cohort,"Persons with condition occurrence of referent concept (132703) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",132703002,132703,referent,
132703000,17062,Lichen Planus (LP) with second occurrence within 365 days,Lichen Planus with second occurrence within 365 days after. Cohort exit is the end of continuous observable time for the person.,132703003,132703,,
133444000,18707,Thyroiditis referent incident cohort,"Persons with condition occurrence of referent concept (133444) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",133444001,133444,referent,
133444000,18706,Thyroiditis referent prevalent cohort,"Persons with condition occurrence of referent concept (133444) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",133444002,133444,referent,
134442000,17681,Systemic sclerosis referent incident cohort,"Persons with condition occurrence of referent concept (134442) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",134442001,134442,referent,
134442000,17680,Systemic sclerosis referent prevalent cohort,"Persons with condition occurrence of referent concept (134442) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",134442002,134442,referent,
134442000,11954,Localized Scleroderma or Morphea at first diagnosis,Scleroderma at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,134442003,134442,,
134442000,17170,Systemic sclerosis at first diagnosis,Systemic sclerosis at first diagnosis at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,134442004,134442,,
134442000,17171,Systemic sclerosis or or localized scleroderma at first diagnosis,Systemic sclerosis or Scleroderma at first diagnosis at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,134442005,134442,,
136774000,17627,Pityriasis rubra pilaris referent incident cohort,"Persons with condition occurrence of referent concept (136774) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",136774001,136774,referent,
136774000,17626,Pityriasis rubra pilaris referent prevalent cohort,"Persons with condition occurrence of referent concept (136774) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",136774002,136774,referent,
138379000,17443,Chronic lymphoid leukemia referent incident cohort,"Persons with condition occurrence of referent concept (138379) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",138379001,138379,referent,
138379000,17442,Chronic lymphoid leukemia referent prevalent cohort,"Persons with condition occurrence of referent concept (138379) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",138379002,138379,referent,
138379000,17877,Chronic lymphoid leukemia design diagnostics 1 cohort,"Chronic lymphoid leukemia, disease referent concept prevalent cohort: First occurrence of updated concept set + descendants",138379003,138379,design diagnostics,
138502000,17711,Vitiligo referent incident cohort,"Persons with condition occurrence of referent concept (138502) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",138502001,138502,referent,
138502000,17710,Vitiligo referent prevalent cohort,"Persons with condition occurrence of referent concept (138502) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",138502002,138502,referent,
138502000,11660,Vitiligo (excludes around the eyelid and periocular) at first diagnosis,Vitiligo (excludes around the eyelid and periocular) at first diagnosis at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,138502003,138502,,
139899000,17621,Pemphigoid referent incident cohort,"Persons with condition occurrence of referent concept (139899) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",139899001,139899,referent,
139899000,17620,Pemphigoid referent prevalent cohort,"Persons with condition occurrence of referent concept (139899) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",139899002,139899,referent,
140168000,17637,Psoriasis referent incident cohort,"Persons with condition occurrence of referent concept (140168) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",140168001,140168,referent,
140168000,17636,Psoriasis referent prevalent cohort,"Persons with condition occurrence of referent concept (140168) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",140168002,140168,referent,
140168000,11643,Psoriasis at first diagnosis (no history of Psoriasis),"Psoriasis at first diagnosis with 365 days continuous observation, with no history of psoriasis. Cohort exit is the end of continuous observable time for the person.",140168003,140168,,
140168000,16411,"Psoriasis, exclude parapsoriasis and less common psoriasis subtypes specifically guttate psoriasis, generalized pustular psoriasis","Psoriasis at first diagnosis with 365 days continuous observation. Exclude persons with parapsoriasis, guttate psoriasis, generalized pustular psoriasis at any time. Cohort exit is the end of continuous observable time for the person.",140168004,140168,,
140168000,18434,Psoriasis excluding Guttate Psoriasis and Palmoplantar Pustulosis,Psoriasis at first diagnosis with 365 days continuous observation. Exclude persons with guttate psoriasis and palmoplantar pustuolosis at any time. Cohort exit is the end of continuous observable time for the person.,140168005,140168,,
140168000,18809,Psoriasis Elder 1,Psoriasis Eder (2020) 1+ codes,140168006,140168,literature,32062600
140168000,18810,Psoriasis Elder 2,Psoriasis Eder (2020) 1+ codes in-patient or 2+ codes out-patient,140168007,140168,literature,32062600
140168000,18811,Psoriasis Elder 3,Psoriasis Eder (2020) 1+ codes in-patient or 3+ codes out-patient,140168008,140168,literature,32062600
140168000,18812,Psoriasis Icen 1,Psoriasis Icen (2008) 1+ codes,140168009,140168,literature,18835060
140168000,18813,Psoriasis Seminara 1,Psoriasis Seminara (2011) 1+ codes,140168010,140168,literature,21073449
140168000,18814,Psoriasis Seminara 2,Psoriasis Seminara (2011) 2+ codes (on different dates),140168011,140168,literature,21073449
140168000,18815,Psoriasis Seminara 3,Psoriasis Seminara (2011) 3+ codes,140168012,140168,literature,21073449
140168000,17649,Pustular psoriasis referent incident cohort,"Persons with condition occurrence of referent concept (4063434) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4063434001,4063434,referent,
140168000,17648,Pustular psoriasis referent prevalent cohort,"Persons with condition occurrence of referent concept (4063434) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4063434002,4063434,referent,
140168000,16865,Pustular psoriasis of palms and soles at first diagnosis,Pustular psoriasis of palms and soles at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,4063434003,4063434,,
140168000,17310,Pustular Psoriasis with second occurrence within 365 days,Pustular Psoriasis with second occurrence within 365 days,4063434005,4063434,,
140168000,18307,Pustular psoriasis of palms and soles referent incident cohort,Pustular Psoriasis at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,4063434006,4100184,referent,
140168000,18308,Pustular psoriasis of palms and soles referent prevalent cohort,Pustular Psoriasis at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,4063434007,4063434,referent,
140168000,17499,Guttate psoriasis referent incident cohort,"Persons with condition occurrence of referent concept (4284492) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4284492001,4284492,referent,
140168000,17498,Guttate psoriasis referent prevalent cohort,"Persons with condition occurrence of referent concept (4284492) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4284492002,4284492,referent,
140168000,11652,Guttate psoriasis at first diagnosis,Guttate psoriasis at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,4284492003,4284492,,
140673000,17527,Hypothyroidism referent incident cohort,"Persons with condition occurrence of referent concept (140673) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",140673001,140673,referent,
140673000,17526,Hypothyroidism referent prevalent cohort,"Persons with condition occurrence of referent concept (140673) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",140673002,140673,referent,
141232000,17555,Malignant melanoma of skin referent incident cohort,"Persons with condition occurrence of referent concept (141232) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",141232001,141232,referent,
141232000,17554,Malignant melanoma of skin referent prevalent cohort,"Persons with condition occurrence of referent concept (141232) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",141232002,141232,referent,
141456000,18631,Chilblains referent incident cohort,"Persons with condition occurrence of referent concept (141456) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",141456001,141456,referent,
141456000,18630,Chilblains referent prevalent cohort,"Persons with condition occurrence of referent concept (141456) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",141456002,141456,referent,
141933000,17393,Alopecia areata referent incident cohort,"Persons with condition occurrence of referent concept (141933) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",141933001,141933,referent,
141933000,17392,Alopecia areata referent prevalent cohort,"Persons with condition occurrence of referent concept (141933) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",141933002,141933,referent,
141933000,17166,Alopecia (not including specific alopecia that suggest anything other than Alopecia Areata or non scarring alopecia) first diagnosis,Non-scarring Alopecia at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,141933003,141933,,
192671000,17493,Gastrointestinal hemorrhage referent incident cohort,"Persons with condition occurrence of referent concept (192671) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",192671001,192671,referent,
192671000,17492,Gastrointestinal hemorrhage referent prevalent cohort,"Persons with condition occurrence of referent concept (192671) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",192671002,192671,referent,
192671000,17748,"Gastrointestinal bleeding events, defined by condition occurrences of Gastrointestinal hemorrhage GI bleeding conceptset occurring between start and end of inpatient or ER visit","Gastrointestinal bleeding events, defined by condition occurrences of 'Gastrointestinal hemorrhage GI bleeding' conceptset occurring between start and end of inpatient or ER visit",192671003,192671,,
192671000,18910,"Gastrointestinal hemorrhage by Siontis Circulation, 2018",Gastrointestinal bleeding concept set with an inclusion criteria of inpatients visit on the day of,192671004,192671,literature,
192671000,19006,"Gastrointestinal hemorrhage adding Rectal hemorrhage and ER visits to Siontis, 2018",Gastrointestinal hemorrhage,192671005,192671,literature,
192675000,17427,Biliary cirrhosis referent incident cohort,"Persons with condition occurrence of referent concept (192675) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",192675001,192675,referent,
192675000,17426,Biliary cirrhosis referent prevalent cohort,"Persons with condition occurrence of referent concept (192675) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",192675002,192675,referent,
192675000,16923,"Primary biliary cirrhosis for first time in patients history, with exclusion of secondary biliary cirrhosis","Primary biliary cirrhosis at first diagnosis with 365 days continuous observation, exclusion of prior secondary biliary cirrhosis. Cohort exit is the end of continuous observable time for the person.",192675003,192675,,
192675000,16902,"Primary biliary cirrhosis for first time in patients history, with second occurrence of primary biliary cirrhosis within 2 years",Primary biliary cirrhosis with second occurrence of within two years after with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,192675004,192675,,
194702000,18750,Premature rupture of membranes referent incident cohort,"Persons with condition occurrence of referent concept (194702) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",194702001,194702,referent,
194702000,18749,Premature rupture of membranes referent prevalent cohort,"Persons with condition occurrence of referent concept (194702) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",194702002,194702,referent,
194702000,18772,"Premature rupture of membranes events, females","Premature rupture of membranes events, females",194702003,194702,,
197508000,17575,Malignant tumor of urinary bladder referent incident cohort,"Persons with condition occurrence of referent concept (197508) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",197508001,197508,referent,
197508000,17574,Malignant tumor of urinary bladder referent prevalent cohort,"Persons with condition occurrence of referent concept (197508) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",197508002,197508,referent,
198984000,17563,Malignant tumor of cervix referent incident cohort,"Persons with condition occurrence of referent concept (198984) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",198984001,198984,referent,
198984000,17562,Malignant tumor of cervix referent prevalent cohort,"Persons with condition occurrence of referent concept (198984) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",198984002,198984,referent,
198985000,17633,Primary malignant neoplasm of kidney referent incident cohort,"Persons with condition occurrence of referent concept (198985) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",198985001,198985,referent,
198985000,17632,Primary malignant neoplasm of kidney referent prevalent cohort,"Persons with condition occurrence of referent concept (198985) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",198985002,198985,referent,
199074000,17381,Acute pancreatitis referent incident cohort,"Persons with condition occurrence of referent concept (199074) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",199074001,199074,referent,
199074000,17380,Acute pancreatitis referent prevalent cohort,"Persons with condition occurrence of referent concept (199074) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",199074002,199074,referent,
199074000,17747,Acute pancreatitis prevalent cohort: defined by condition occurrences of Acute pancreatitis conceptset occurring between start and end of inpatient or ER visit,,199074003,199074,,
201620000,17545,Kidney stone referent incident cohort,"Persons with condition occurrence of referent concept (201620) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",201620001,201620,referent,
201620000,17544,Kidney stone referent prevalent cohort,"Persons with condition occurrence of referent concept (201620) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",201620002,201620,referent,
201820000,17693,Type 1 diabetes mellitus referent incident cohort,"Persons with condition occurrence of referent concept (201254) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",201254001,201254,referent,
201820000,17692,Type 1 diabetes mellitus referent prevalent cohort,"Persons with condition occurrence of referent concept (201254) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",201254002,201254,referent,
201820000,18999,Type 1 diabetes mellitus design diagnostics 1 cohort,Type 1 diabetes,201254003,201254,design diagnostics,
201820000,17695,Type 2 diabetes mellitus referent incident cohort,"Persons with condition occurrence of referent concept (201826) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",201826001,201826,referent,
201820000,17694,Type 2 diabetes mellitus referent prevalent cohort,"Persons with condition occurrence of referent concept (201826) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",201826002,201826,referent,
201820000,17720,Type 2 diabetes mellitus prevalent cohort: First condition occurrence of Type 2 diabetes mellitus conceptset or observation of History of diabetes,,201826003,201826,,
201820000,18933,Type 2 diabetes mellitus incident cohort: First condition occurrence of Type 2 diabetes mellitus conceptset and no prior observation of History of diabetes,Type 2 diabetes mellitus incident cohort: First condition occurrence of 'Type 2 diabetes mellitus' conceptset and no prior observation of 'History of diabetes',201826004,201826,,
201820000,18934,Type 2 diabetes mellitus incident cohort: First condition occurrence of Type 2 diabetes mellitus conceptset or Type 2 diabetes treatment or HbA1c > 6.5 and no prior observation of History of diabetes,Type 2 diabetes mellitus incident cohort: First condition occurrence of 'Type 2 diabetes mellitus' conceptset or Type 2 diabetes treatment or HbA1c > 6.5 and no prior observation of 'History of diabetes',201826005,201826,,
201820000,18972,"Type 2 diabetes mellitus, pheKB 2012","Type 2 diabetes mellitus, pheKB 2012",201826006,201826,literature,
201820000,18964,Type 2 diabetes mellitus by Miller 2004,Prescription for a diabetes medication in the current year and/or 2+ diabetes codes from inpatient and/or outpatient visits over a 24-month period,201826007,201826,literature,
