phenotypeId,phenotypeName,clinicalDescription
132702000,Erythema multiforme,"Overview: Erythema multiformae (EM) is an acute, immune mediated manifestation characterized by distinctive circular target shaped skin lesions - often accompanied by erosions or bullates involving the oral, genital and/or occular mucosae. EM major is used to describe severe mucosal involvement, EM minor refers to EM without mucosal involvement. Most commonly induced by infection, commonly herpes simplex, mycoplasma pneumoniae. Can also be precipitated by drugs (NSAIDs, sulfonamides, antiepileptics, and antibiotics). EM major is considered to be distinct disease from Stevens-Johnson syndrome (SJS) (usually a drug-induced disorder that may present with cutaneous, targetoid lesions and mucosal erosions. Atypical target lesions of SJS tend to be macular, rather than the papular lesions associated with EM). Presentation: Either after an infection or an offending drug development of multiple, sometimes spreading rashes. Assessment: Skin biopsy with staining to rule out autoimmune disease and other causes (rule out cuaneous small vessel vasculitis, bullous pemphigoid, fixed drug eruption, urticaria). Plan: If not autoimmune disease, topical steroids. If severe, systemic treatment with mycophenolate, thalidomide, immunoglobulins. Systemic corticosteroids are also used. Prognosis: self-limited, resolving within weeks without significant sequale. A subset of patients may develop recurrent EM over many years with substantial morbidity."
132703000,Lichen planus,"Overview: is a rare disease affecting middle aged adults most commonly affecting skin as pruritic, purple, polygonal and papular lesions lasting a few millimeters each, that may coalesce to forms large lesions over time. Common areas of extremities, scalp and genitalia. It may also involve the mucus members of the oral cavity and esophagus. It is commonly associated with hepatitis C. Presentation: development of pruritic, purple, polygonal, papular lesions in the extremities that are few millimeters in size. Assessment: clinical examination, no specific testingPlan: no recommended treatment. Options include corticosteroids, phototherapy. Prognosis: commonly remits over few years"
133444000,Thyroiditis,"Overview: diverse group of disorders characterized by some form of thyroid inflammation, causing acute or chronic, painful or painless thyroiditis. Major diagnostic criterias are dominated by presence of pain and tenderness. Pain and tenderness occurs with subacute thyroiditis with unregulated thyroid hormone level fluctuations - includes de Quervains, subacute granulomatous - thought to post viral illness. Infectious thyroiditis is also painful and tender and may be acute - e.g. bacterial with abscess suppurative, or chronic infection. Pain and tenderness is absense in silent/lymphocytic/painless thyroiditis that may occur secondary to autoimmune causes (hashimotos). Postpartum thyroiditis is known to occur within 1 year of parturition - and history of pregnancy is an important classifier. Drugs like interferon alfa, interleukin-2, amiodarone, lithium, tyrosine kinase inhibitors, check point inhibitors immunotherapy may cause painless non tender thyroiditis. Presentation: Painful thyroiditis has obvious symptoms of pain in thyroid region, seasonality (summer) in pattern may exist because etiology is commonly thought to be post viral. Painless thyroiditis have history of hyperthyroidism like symptoms followed by hypothyroidism - however rarely are these symptoms severe, and are almost always transient many go undetected. Assessment: TSH followed by T3 and T4. Physical exam to confirm tenderness. Subacute/acute thyroiditis is a clinical diagnosis. Medication review, anti thyroid antibodies, thyroid ultrasound. Plan: Find and treat underlying cause of thyroid inflammation (medications, surgery). Beta blockers for bothersome thyroiditis. If symptomatic hypothyroidism, consider T4 (levothyroxine) therapy. Pain management if needed. Prognosis: Typically excellent prognosis."
134442000,Systemic sclerosis,"Overview: is the presence of presence of thickened, hardened skin and is the hallmark of ‘Systemic Sclerosis’. Systemic Sclerosis (SSc) is a multisystem disease characterized by progressive fibrosis of skin and internal organs. Presentation: Skin manifestations are universal in Systemic Sclerosis (SSc) but the extent and degree may vary. Symptoms of systemic involvement may appear later – commonly lung disease related breathless on exertion, nonproductive cough. Raynaud’s phenomenon is commonAssessment: Common serologic markers are Antinuclear antibody (95% sensitivity), Antitopoisomerase I (anti-SCL-70) antibody positivity, anticentromere antibody, anti-RNA polymerase III antibody. Plan: customized treatment tailored to individual patients, that involves systemic immunosuppressive therapy. Prognosis: Progression of systemic disease may lead to mortality. This is a long-term progressive disease."
136774000,Pityriasis rubra pilaris,"Overview: (PRP) A group of skin conditions (rare) that cause constant inflammation and scaling of the skin. Cover the entire body or just parts of the body such as the elbows and knees, palms and soles. The palms and soles are usually involved and become diffusely thickened and yellowish (palmoplantar keratoderma). Juvenile and adult - cause and onset are unknown. Presentation:reddish-orange coloured scaling patches with well-defined borders, itchy, can spread over the entire body Assessment: Clinical appearance and skin biopsy, fail to respond to pssoriasis treatment Plan: Topical emollients, methotrexate, Acitretin, Isotretinoin, immunosuppresants, biologics, UV light therapy Prognosis: Inherited forms of PRP tend to persist throughout life whilst the sporadically acquired forms tend to resolve spontaneously eventually after one to three years"
138379000,Chronic lymphoid leukemia,"Overview: mature B cell neoplasm characterized by a progressive accumulation of monoclonal B lymphocytes. Similar to non-Hodgkins lymphoma SLL, but the key difference is that this disease manifests primarily in blood, while SLL in primarily lymph node. Presentation: most commonly asymptomatic and detected on routine blood test with abnormal lymphocytosis. Occassionally there may be constitutional symptoms like unexplained weight loss, fevers, night sweats, fatigue. CLL does not have lymphadenopathy while non-HL/SLL does. Assessment: Suspected when there is absolute lymphocytosis on peripheral smear. periheral blood/bone marrow cell counts, immunophenotypic analysis (flow cytometry), bone marrow biopsy/aspirate, lymph node biopsy/aspirate, spleen. Plan: depends on activity of disease/stage; the disease is extremelly heterogenous. Nodal diseae may involve radiation therapy. There is no single agreed first line therapy. Prognosis: chronic disease but may be asymptomatic with minimal progression, or may progress quickly"
138502000,Vitiligo,"Overview: Vitiligo is the most frequent cause of acquired depigmentation disorder of skin that is characterized by development of well-defined white macules on the skin. Presentation: Vitiligo typically presents with asymptomatic patches of skin that is milky/chalky white in color without signs of inflammation. Although it can appear at any age or anywhere on the body, it has predilection for the face, around orifices, in genitals, and hands. Depigmentation of hair may also occur. Most commonly Vitiligo is non-segmental but can be segmental too especially around the trigeminal nerve distribution. Assessment: Clinical diagnosis is straightforward based on history and clinical examination. Routine skin biopsy is not needed. Plan: If rapid progression is suspected, low-dose oral corticosteroids. Phototherapy may cause stabilization. Prognosis: Clinical course is variable, may remain stable or slowly progress – with extent and distribution changing over lifetime."
139899000,Pemphigoid,"Overview: Rare autoimmune conditions that causes blistering and rashes on the skin and mucous membranes. The body mistakenly sends antibodies to bind to cells in the skin. These antibodies trigger a chain reaction that separates the bottom layer of cells from above layers. Bullous pemphigoid. Cicatricial pemphigoid. Pemphigoid gestationis. Presentation: skin rashes and blistering, itchy patches, irritated blistersAssessment: Blisters are present, skin biopsy, blood tests (antibodies), thyroid testing (rule-out other diseases)Plan: Steroids, skin emollients, anti-inflammotory drugs, antibiotics for infection, immunosuppressantsPrognosis: Weeks to years of treatment before the symptoms resolve entirely. Recurrences are also extremely common."
140168000,Psoriasis,"Overview: Most common (~80%) are plaque psoriasis with other major subtypes being guttate psoriasis (acute onset numerous small inflammatory plaques); pustular psoriasis (chronic pustular eruption), erythrodermic psoriasis.Chronic plaque psoriasis is the most common type of psoriasis and is considered the default type of psoriasis when the term psoriasis is used. Presentation: Plaque psoriasis is characterized by well-demarcated, erythematous, scaly silvery skin plaques of the scalp, extensor elbows, knees and gluteal folds. Assessment: Diagnosis is obvious by clinical examination, with rare need for skin biopsy. Plan: topical therapy with emollients and corticosteroids, UV light phototherapy. Systemic therapy may involve methotrexate, cyclosporine, apremilast. Biologics TNS alpha inhibitors (Etanercept, Infliximab, Adalimumab, Certolizumab), IL-17 pathway inhibitors (Secukinumab, Ixekizumab, Broadalumab) and IL-23 inhibitors (Ustekinumab, Guselkumab) are options in moderate to severe plaque psoriasis. Prognosis: Chronic long-term disease that may progress."
140673000,Hypothyroidism,"Overview: Underactive thyroid gland. Common causes are autoimmune disease, such as Hashimoto’s thyroiditis. Presentation: Can have no symptoms; Feel cold and tired, dry skin, forgetful and depression, constipation, changes in menstrual cycle, unexplained weight gain or difficutly losing weight Assessment: family history, TSH (thyroid-stimulating hormone) test, and T4 tests (free T4 and free T4 index)Plan: Thyroxine (T4) replacementPrognosis: Lifelong, can be completely controlled, no cure (exception - viral thyroiditis, thyroid returns to normal as do some patients with throiditis after pregnancy)"
